CCG16CD,CCG16CDH,CCG16NM,STP17CD,STP17NM,FID,Product,LiveDate,PharmacyReferralServiceIdWhitelist,ReferralServiceIdWhitelist
E38000079,06N,NHS Herts Valleys CCG,E54000025,Hertfordshire and West Essex,1,Pathways,24/04/2018,,2000005829|2000005414|2000005832|2000001552|2000005835|2000006980|2000011053|2000005832
E38000161,01T,NHS South Sefton CCG,E54000008,Cheshire and Merseyside,2,Pathways,28/04/2018,1380550830|1483010309|1483009094|1483094292|1483097033|1484666992|1484757347|1484049160|1484134513|1479914134|1479985189|1481212709|1481275223|1481275300|1481556231|1481556381|1481553946|1481558433|1481561560|1481628178|1481282112|1481212709|1481209596|1481209767|1481213345|1481210317|1481210394|1481211776|1481213464|1481211947|1481212193|1481274827|1481274957|1481214227|1481214879|1481275223|1481275300|1481215225|1481215353|1481275370|1481274222|1481274324|1481274477|1481275478|1481277023|1481277090|1481277171|1481556231|1481280387|1481283192|1481283913|1481556300|1481546419|1481285230|1481301351|1481301507|1481301550|1481301624|1481301708|1481301813|1481556381|1481556475|1481547194|1481547262|1481547496|1481546582|1481546677|1481547878|1481548835|1481549011|1481549240|1481553946|1481554373|1481554892|1481557234|1481555826|1481557458|1481557987|1481558285|1481561469|1481558433|1481561560|1481560170|1481559715|1481561052|1481559657|1481560110|1481560244|1481560294|1481561198|1481620910|1481621637|1481621754|1481628178|1481622892|1481623020|1481623087|1481623605|1481623750|1481627280|1481627415|1481627618|2000006636|1481552502|1481284469|1481284823|1481285993|1481286211|1481553235|1481281079|1481281357|1481554420|1481558742|1481281933|1481560307|1481282112|1482406329|1482421941|1482406904|1483008286|1483010855|1483005668|1483009832|1483010559|1483011106|1483010207|1483094942|1483023122|1483029087|1483092726|1483021074|1483108257|1483096370|1483106750|1483114405|1483095886|1483108931|1483108663|1484584392|1484565688|1484575440|1484572305|1484757665|1484148609|1484148773|1484578927|1484565119|1484151505|1484758246|1484324196|1484142644|1484054536|1484058890|1483526694|1484059293|1483458635|1483458470|1484141122|1484057928|1484134807|1484060980|1484046375|1478702919|1479912562|1478705961|1478707341|1478703467|1479986467|1479917406|1478697965|1479911159|1478701080|1479986796|1479985961|1478700711|1478707520|1478779097|1478778241|1479914418|1478778363|1478696651|1479984417|1483013188,115217|153404|1318592102|1358779488|1380537177|1380537579|1380550830|1381936411|1427707367|1427707875|1427707914|1427708028|1427708146|1427708875|1479121363|2000001929|2000002213|2000002215|2000002216|2000002217|2000002218
E38000001,02N,"NHS Airedale, Wharfedale and Craven CCG",E54000005,West Yorkshire,3,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|1490622876|1362471563|1362471380|1362412492|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|1490622632|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|2000000403|2000000405|2000000344|2000000334|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014904
E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG",E54000007,Greater Manchester,4,Pathways,29/05/2018,,1345195736|1338465156|2000006658|2000006663
E38000002,09C,NHS Ashford CCG,E54000032,Kent and Medway,5,Pathways,10/05/2018,,2000001154|2000012125
E38000162,00M,NHS South Tees CCG,E54000045,"Durham, Darlington, Teesside, Hambleton, Richmondshire and Whitby",6,Pathways,24/04/2018,,2000004565|1496936024|2000000471|2000000467|2000013667|2000013669|2000014690|2000014689|1464362309|1467721684
E38000081,99K,NHS High Weald Lewes Havens CCG,E54000033,Sussex and East Surrey,7,Pathways,10/05/2018,,2000013792|2000013793|2000013794|2000013795|2000013796
E38000004,07L,NHS Barking and Dagenham CCG,E54000029,North East London,8,Pathways,30/11/2017,,2000006999|2000007000|1454277430|2000007895
E38000163,00N,NHS South Tyneside CCG,E54000046,"Northumberland, Tyne and Wear and North Durham",9,Pathways,24/04/2018,,1492614239|2000000471|2000000467|2000013667|2000013669
E38000082,08G,NHS Hillingdon CCG,E54000027,North West London,10,Pathways,24/01/2018,,2000007896|2000008490|2000015769
E38000005,07M,NHS Barnet CCG,E54000028,North Central London,11,Pathways,15/06/2018,,2000006554|2000007183|2000007187|2000007184|1454277034|2000007893
E38000164,05R,NHS South Warwickshire CCG,E54000018,Coventry and Warwickshire,12,Pathways,21/06/2018,,2000013432|2000013433|2000013430|2000013428|2000013429|2000015321|2000015322|2000015323|2000015325|2000015335|2000015460|2000015461|2000015462|2000015463|2000015464|2000015577|2000015578
E38000083,09X,NHS Horsham and Mid Sussex CCG,E54000033,Sussex and East Surrey,13,Pathways,10/05/2018,,2000013792|2000013793|2000013794|2000013795|2000013796
E38000006,02P,NHS Barnsley CCG,E54000009,South Yorkshire and Bassetlaw,14,Pathways,17/01/2018,,1442928560|1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|2000014905
E38000165,04Q,NHS South West Lincolnshire CCG,E54000013,Lincolnshire,15,Pathways,29/05/2018,,2000006025|2000006034|2000006035|2000006454|2000006455|2000006456
E38000084,07Y,NHS Hounslow CCG,E54000027,North West London,16,Pathways,24/01/2018,,2000007896|2000008491|2000015768
E38000007,99E,NHS Basildon and Brentwood CCG,E54000026,Mid and South Essex,17,Pathways,15/05/2018,,2000006865|2000005726|1356088809|2000008049
E38000166,05T,NHS South Worcestershire CCG,E54000019,Herefordshire and Worcestershire,18,Pathways,26/06/2018,,2000013424|2000015333|2000015469|2000015559|2000015560
E38000085,03F,NHS Hull CCG,E54000006,"Humber, Coast and Vale",19,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014913
E38000008,02Q,NHS Bassetlaw CCG,E54000009,South Yorkshire and Bassetlaw,20,Pathways,17/01/2018,,1442928560|1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|2000014906
E38000167,10X,NHS Southampton CCG,E54000042,Hampshire and the Isle of Wight,21,Pathways,29/05/2018,,2000010404|2000010384|2000013112|2000013116
E38000086,06L,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk and North East Essex,22,Pathways,31/05/2018,,2000007341|2000013632|2000013744|2000013637|2000015018
E38000009,11E,NHS Bath and North East Somerset CCG,E54000040,"Bath, Swindon and Wiltshire",23,Pathways,10/07/2018,,2000008366|2000008365|2000008364
E38000168,99G,NHS Southend CCG,E54000026,Mid and South Essex,24,Pathways,15/05/2018,,2000006865|2000005726|1353512559|2000008049
E38000087,10L,NHS Isle of Wight CCG,E54000042,Hampshire and the Isle of Wight,25,Pathways,29/05/2018,,2000010427|2000010419
E38000010,06F,NHS Bedfordshire CCG,E54000024,"Milton Keynes, Bedfordshire and Luton",26,Pathways,28/06/2018,,2000008918|2000008907|2000008917|2000008914|2000009185|2000015712
E38000169,04R,NHS Southern Derbyshire CCG,E54000012,Derbyshire,27,Pathways,01/06/2018,,2000005498|2000006594|2000006592|2000006593|2000006334|2000006329|2000006335|2000006261|2000006265|2000006684|2000006682|2000006811|2000006812|2000006813|2000006800|2000006685|2000009397|2000009399
E38000088,08H,NHS Islington CCG,E54000028,North Central London,28,Pathways,15/06/2018,,2000006554|2000007183|2000007187|2000007184|1454277034|2000007893
E38000011,07N,NHS Bexley CCG,E54000030,South East London,29,Pathways,30/11/2017,,1456933388|1454277706|1403536392|1354112563|1442223256|1317643273|2000007897|2000012829|2000012831
E38000170,01V,NHS Southport and Formby CCG,E54000008,Cheshire and Merseyside,30,Pathways,07/12/2017,1380550830|1483010309|1483009094|1483094292|1483097033|1484666992|1484757347|1484049160|1484134513|1479914134|1479985189|1481212709|1481275223|1481275300|1481556231|1481556381|1481553946|1481558433|1481561560|1481628178|1481282112|1481212709|1481209596|1481209767|1481213345|1481210317|1481210394|1481211776|1481213464|1481211947|1481212193|1481274827|1481274957|1481214227|1481214879|1481275223|1481275300|1481215225|1481215353|1481275370|1481274222|1481274324|1481274477|1481275478|1481277023|1481277090|1481277171|1481556231|1481280387|1481283192|1481283913|1481556300|1481546419|1481285230|1481301351|1481301507|1481301550|1481301624|1481301708|1481301813|1481556381|1481556475|1481547194|1481547262|1481547496|1481546582|1481546677|1481547878|1481548835|1481549011|1481549240|1481553946|1481554373|1481554892|1481557234|1481555826|1481557458|1481557987|1481558285|1481561469|1481558433|1481561560|1481560170|1481559715|1481561052|1481559657|1481560110|1481560244|1481560294|1481561198|1481620910|1481621637|1481621754|1481628178|1481622892|1481623020|1481623087|1481623605|1481623750|1481627280|1481627415|1481627618|2000006636|1481552502|1481284469|1481284823|1481285993|1481286211|1481553235|1481281079|1481281357|1481554420|1481558742|1481281933|1481560307|1481282112|1482406329|1482421941|1482406904|1483008286|1483010855|1483005668|1483009832|1483010559|1483011106|1483010207|1483094942|1483023122|1483029087|1483092726|1483021074|1483108257|1483096370|1483106750|1483114405|1483095886|1483108931|1483108663|1484584392|1484565688|1484575440|1484572305|1484757665|1484148609|1484148773|1484578927|1484565119|1484151505|1484758246|1484324196|1484142644|1484054536|1484058890|1483526694|1484059293|1483458635|1483458470|1484141122|1484057928|1484134807|1484060980|1484046375|1478702919|1479912562|1478705961|1478707341|1478703467|1479986467|1479917406|1478697965|1479911159|1478701080|1479986796|1479985961|1478700711|1478707520|1478779097|1478778241|1479914418|1478778363|1478696651|1479984417|1483013188,115217|153404|1318592102|1358779488|1380537177|1380537579|1380550830|1381936411|1427707367|1427707875|1427707914|1427708028|1427708146|1427708875|1479121363|2000001929|2000002213|2000002215|2000002216|2000002217|2000002218
E38000089,11N,NHS Kernow CCG,E54000036,Cornwall and the Isles of Scilly,31,Pathways,06/04/2018,,2000005674|1999999993
E38000014,00Q,NHS Blackburn with Darwen CCG,E54000048,Lancashire and South Cumbria,32,Pathways,28/04/2018,,2000006665|2000006666|2000006667|2000004969|2000005242|22607|22797
E38000171,08Q,NHS Southwark CCG,E54000030,South East London,33,Pathways,30/11/2017,,1456933388|1454277706|1403536392|1354112563|1442223256|1317643273|2000007897|2000012829|2000012831
E38000090,08J,NHS Kingston CCG,E54000031,South West London,34,Pathways,25/04/2018,,2000005325|1475055548|1454277843|2000007898
E38000015,00R,NHS Blackpool CCG,E54000048,Lancashire and South Cumbria,35,Pathways,28/04/2018,,2000006670|2000006661|2000006662|2000004964|2000004970
E38000172,01X,NHS St Helens CCG,E54000008,Cheshire and Merseyside,36,Pathways,07/12/2017,1483010309|1483009094|1483094292|1483097033|1484666992|1484757347|1484049160|1484134513|1479914134|1479985189|1481212709|1481275223|1481275300|1481556231|1481556381|1481553946|1481558433|1481561560|1481628178|1481282112|1481212709|1481209596|1481209767|1481213345|1481210317|1481210394|1481211776|1481213464|1481211947|1481212193|1481274827|1481274957|1481214227|1481214879|1481275223|1481275300|1481215225|1481215353|1481275370|1481274222|1481274324|1481274477|1481275478|1481277023|1481277090|1481277171|1481556231|1481280387|1481283192|1481283913|1481556300|1481546419|1481285230|1481301351|1481301507|1481301550|1481301624|1481301708|1481301813|1481556381|1481556475|1481547194|1481547262|1481547496|1481546582|1481546677|1481547878|1481548835|1481549011|1481549240|1481553946|1481554373|1481554892|1481557234|1481555826|1481557458|1481557987|1481558285|1481561469|1481558433|1481561560|1481560170|1481559715|1481561052|1481559657|1481560110|1481560244|1481560294|1481561198|1481620910|1481621637|1481621754|1481628178|1481622892|1481623020|1481623087|1481623605|1481623750|1481627280|1481627415|1481627618|2000006636|1481552502|1481284469|1481284823|1481285993|1481286211|1481553235|1481281079|1481281357|1481554420|1481558742|1481281933|1481560307|1481282112|1482406329|1482421941|1482406904|1483008286|1483010855|1483005668|1483009832|1483010559|1483011106|1483010207|1483094942|1483023122|1483029087|1483092726|1483021074|1483108257|1483096370|1483106750|1483114405|1483095886|1483108931|1483108663|1484584392|1484565688|1484575440|1484572305|1484757665|1484148609|1484148773|1484578927|1484565119|1484151505|1484758246|1484324196|1484142644|1484054536|1484058890|1483526694|1484059293|1483458635|1483458470|1484141122|1484057928|1484134807|1484060980|1484046375|1478702919|1479912562|1478705961|1478707341|1478703467|1479986467|1479917406|1478697965|1479911159|1478701080|1479986796|1479985961|1478700711|1478707520|1478779097|1478778241|1479914418|1478778363|1478696651|1479984417|1483013188,115217|1318592102|1358779488|1380537177|1380537579|1380550830|1381936411|1427707367|1427707875|1427707914|1427708028|1427708146|1427708875|1479121363|2000001929|2000002213|2000002215|2000002216|2000002217|2000002218|2000015858
