CCG16CD,CCG16CDH,CCG16NM,STP17CD,STP17NM,FID,Product,LiveDate,PharmacyReferralServiceIdWhitelist,ReferralServiceIdWhitelist
E38000001,02N,"NHS Airedale, Wharfedale and Craven CCG",E54000005,West Yorkshire and Harrogate (Health and Care Partnership),3,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014904
E38000002,09C,NHS Ashford CCG,E54000032,Kent and Medway,5,Pathways,31/07/2018,,2000001154|2000012125
E38000004,07L,NHS Barking and Dagenham CCG,E54000029,East London Health and Care Partnership,8,Pathways,22/01/2018,,2000006999|2000007000|2000007895
E38000005,07M,NHS Barnet CCG,E54000028,North London Partners in Health and Care,11,Pathways,30/08/2018,,2000006554|2000007183|2000007184|2000007187|2000007893|2000007895|2000007896|2000007897|2000007898
E38000006,02P,NHS Barnsley CCG,E54000009,South Yorkshire and Bassetlaw,14,Pathways,26/02/2018,,1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|2000014905
E38000007,99E,NHS Basildon and Brentwood CCG,E54000026,Mid and South Essex,17,Pathways,18/06/2018,,2000008049
E38000008,02Q,NHS Bassetlaw CCG,E54000009,South Yorkshire and Bassetlaw,20,Pathways,26/02/2018,,1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|2000014906
E38000009,11E,NHS Bath and North East Somerset CCG,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",23,Pathways,24/10/2018,,2000008366|2000008365|2000008364
E38000010,06F,NHS Bedfordshire CCG,E54000024,"Bedfordshire, Luton and Milton Keynes",26,Pathways,18/07/2018,2000066001|2000037374|2000037393|2000037413|2000037427|2000037435|2000037447|2000037466|2000037480|2000037488|2000037511|2000037529|2000037540|2000037558|2000037571|2000037588|2000037604|2000037620|2000037637|2000037652|2000037683|2000037698|2000037731|2000037759|2000037766|2000037791|2000037805|2000037817|2000037827|2000037863|2000037883|2000053618|2000059530|2000060524|2000061049|2000061172|2000061269|2000061630|2000037403|2000037497|2000037707|2000037748|2000037777|2000037839|2000037851|2000036500|2000037166|2000036652|2000036489|2000036515|2000036526|2000036570|2000036603|2000036598|2000036588|2000036540|2000036555|2000036913|2000036902|2000037227|2000036609|2000036616|2000036633|2000036659|2000036669|2000037242|2000036681|2000036719|2000036725|2000036822|2000036832|2000036703|2000036714|2000036742|2000036749|2000037175|2000037203|2000036760|2000036860|2000036873|2000036790|2000037158|2000037141|2000036783|2000036885|2000036813|2000036801|2000036932|2000036939|2000036922|2000036980|2000036994|2000037131|2000037023|2000037286|2000037032|2000037042|2000037149|2000037045|2000037056|2000037050|2000037183|2000037071|2000037253|2000037082|2000037003|2000037065|2000037101|2000037104|2000036646|2000037109|2000036692|2000037215|2000037190|2000036734|2000036955|2000037073|2000037092,2000008918|2000008907|2000008917|2000008914|2000009185|2000015712
E38000011,07N,NHS Bexley CCG,E54000030,Our Healthier South East London,29,Pathways,17/12/2017,,1456933388|2000007897|1403536392|1354112563|1442223256|1317643273
