CCG16CD,CCG16CDH,CCG16NM,STP17CD,STP17NM,FID,Product,LiveDate,ServiceIdWhitelist,ITKServiceIdWhitelist
E38000079,06N,NHS Herts Valleys CCG,E54000025,Hertfordshire and West Essex,1,,,,
E38000161,01T,NHS South Sefton CCG,E54000008,Cheshire and Merseyside,2,Pathways,07/02/2018,1427708028|134301|134278|154014|134282|134329|139890|134322|139883|1323096691|134319|134276|134320|139884|139900|148366|134311|134270|139879|1346322587|139891|154016|154017|153996|134287|134271|153987|134300|153991|134286|134274|139865|1319558782|1346323374|154015|139875|139894|134289|154005|134335|153992|154013|134325|154007|139895|1323095847|134284|134280|134297|134294|134275|134327|1373885644|139901|139876|139886|136359|136360|136358|154012|136370|154000|139880|153995|134269|139882|154020|153998|136372|134324|139877|154010|154004|134316|1310991403|154018|1337786035|134288|1323097025|1385637097|134281|134302|134304|139888|139871|136365|1346323128|1346328747|1346322320|134272|134293|1319558411|1319558701|154009|139898|1323096886|139872|1323096415|134317|136367|134303|139887|1412082638|136374|134279|1419258422|134312|136363|136361|154006|134277|1346322973|134268|134330|1346328600|139869|139881|136364|139867|134298|139893|136362|134321|1323099485|134296|1337786979|153997|148367|136373|139885|134309|1337787281|139864|154011|153988|139863|136368|136371|136369|139873|1323099298|134313|1345115495|115186|1313584380|2000002214|1380537177|1389964487|1342433013|1385987212|1310738344|2000002217|1381153476|1337949452|136375|153978|153967|148369|148389|1381154624|148370|148372|148371|148374|148375|153961|153982|139984|148376|148377|148380|148368|1496316752|153985|1410948777|148382|139988|139989|153979|153980|153977|148381|148384|139986|148407|153971|148390|139993|1339750824|139990|1381155299|148393|1337948575|153976|153963|148409|148408|153969|148395|148388|153986|148391|139994|148396|148399|148398|153981|148401|139995|148403|136376|148402|140004|1337948772|153974|153964|148406|153966|153970|1381155872|139997|136379|153965|1381154242|139985|140008|136378|148387|139998|140003|153975|148410|1337948947|153973|148411|148412|1381156213|140000|148415|140001|139999|148417|153984|153960|136377|148413|148416|148414|136382|153983|148422|148420|136383|1323443060|136380|1410949267|148419|140002|1440689043|153962|140005|148421|140006|153972|153968|148276|154071|1338377509|148238|148239|1341844079|154037|154086|148240|148241|139941|139936|139971|148244|1338377613|139935|148248|154066|148249|148250|148251|148252|148253|154031|139926|148254|154047|154044|154061|154075|148256|148257|139925|148255|1319621776|1335881864|154034|139947|148258|139962|139966|154072|148260|148365|139957|154046|1319622793|148247|148263|148262|139943|1319622405|154084|154045|154021|148264|154028|148265|148261|148266|154050|139921|148284|148237|139970|139963|148267|139968|139978|148322|148243|154051|148285|154057|1319623451|139961|148324|148268|148269|148361|148270|139908|154042|154078|1319623996|1319625049|1490194570|148272|1319625173|154064|148245|154087|154023|148293|148287|139951|154080|148273|148274|139938|139930|154070|148275|154055|139912|148277|148278|154069|154083|148279|148282|148280|148281|148283|154085|139940|139975|154073|154026|154035|154024|154048|139915|1319625280|148288|139980|148289|148292|148290|154056|154063|139939|139972|148296|1323338316|148299|139959|148298|139983|139974|148294|139967|148307|148295|154074|1319625412|148312|139913|148342|154068|148341|148343|148306|1319625539|139965|148308|148309|148300|139952|154065|148315|148316|148314|1381223689|154079|148317|154058|139982|1319625641|154090|139964|148318|148319|139946|139922|139937|139934|1338376621|148286|148323|148320|148326|139911|1319626657|139949|148329|154041|1319626750|148337|1319636778|1319626872|139907|139920|148339|1319626998|1319627152|1319636610|139976|154091|154039|154059|148333|148335|148331|139917|148334|1319636033|148327|148338|148336|148328|148330|1319636270|154093|148325|1319627352|1319636429|148340|148332|148363|154043|154030|154027|154060|148313|148347|148348|148344|1319637176|154053|148345|148349|148346|1319637056|148350|154076|154040|148351|154029|148352|154049|1319637284|139927|1319637408|148353|1319637546|154062|139918|154025|139979|148356|1319637690|148355|154092|148291|148358|1319638060|148359|139960|148321|154067|148360|139953|139950|139948|139956|139909|148357|139924|1339769253|139954|1319623815|139958|139942|1381159749|154088|139969|139919|139928|154038|1381223092|1319623308|1367489693|154052|148242|139955|1367489392|1319622222|1381160204|1377593919|1323092752|1385722921|139931|1323273015|139914|1381220363|1381160712|139981|148311|139977|1319626269|1335882375|1340015294|1367489077|1339769778|1323336224|148354|139916|1329478809|148364|1363620730|1363619956|1363621556|1363621802|1363619634|1349439543|1363621096|1380193125|1365581943|1353586417|1342432852|1311668367|1465218082|1465206919|1465294667|1463664863,115217|153404|1318592102|1358779488|1380537177|1380537579|1380550830|1381936411|1427707367|1427707875|1427707914|1427708028|1427708146|1427708875|1479121363|2000001929|2000002213|2000002215|2000002216|2000002217|2000002218
E38000001,02N,"NHS Airedale, Wharfedale and Craven CCG",E54000005,West Yorkshire,3,Pathways,30/11/2017,1323337460|1323337630|1323337847|1323337998|1323338167|1323338380|1323338500|1323338704|1323339103|1323339261|1323339577|1323339775|1323339976|1323340141|1323340682|1323340835|1323341034|1323341265|1323341562|1323341781|1323341951|1326120662|1326281189|1326281790|1326282172|1326282986|1326283153|1326283311|1336549539|1338458092|1342181835|1355844594|1360145323|1397056264|1416499420|1416501449|1416566156|1416566338|1416566469|1416566713|1416566807|1416566929|1416567098|1416567289|1416567393|1416904710|1416904922|1416905092|1416905497|1416905584|1416905658|1416905814|1416905884|1416905964|1416906203|1416927560|1416927731|1416927841|1416927970|1416929431|1416932090|1416932471|1416932599|1416932722|1416932996|1492682215|1492682567|1336548667|1337950955|1337950995|2000000330|2000000337|2000001623|2000001627|2000001919|2000001920|2000001921|2000001922|2000001923|2000001924|2000001926,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|1490622876|1362471563|1362471380|1362412492|1362412557|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|1491228465|1490622632|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|2000000337|2000000403|2000000405|2000000344|2000000334|2000000407|2000000331|2000000332|2000000341|2000000345|2000000333|2000000335|2000000351|2000000338|2000000409|2000000347|2000000410|2000000349|2000000353|1329495581|1338457985|1479808152|1340019884|1340019693|1340019782|1362471653|1479806497|2000003632|2000003631|2000003633|2000003634|1490622134
E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG",E54000007,Greater Manchester,4,,,,
E38000002,09C,NHS Ashford CCG,E54000032,Kent and Medway,5,,,,
E38000162,00M,NHS South Tees CCG,E54000045,"Durham, Darlington, Teesside, Hambleton, Richmondshire and Whitby",6,,,,
E38000081,99K,NHS High Weald Lewes Havens CCG,E54000033,Sussex and East Surrey,7,,,,
E38000004,07L,NHS Barking and Dagenham CCG,E54000029,North East London,8,Pathways,22/01/2018,1454277430|1493727819|1422970131|158939|159186|159264|159939|160627|160910|159314|161094|161533|161793|162099|162098|162246|162259|162962|163431|164137|164935|1351248539|1366199065|1313507738|1351253050|1351253250|1351248787|1351248911|1493976126|1439467080|1439466970|1439466485|1439467173|1439466335|1439466199|1439465849|1446810295|1493731831|1461679882|1501774556|1493802972|1441694555|162911|159157|159217|1434463315|159914|160374|161534|161543|161831|162732|162891|163670|161054|163777|163838|163840|159071|159091|159158|159537|159057|159588|159780|159782|159777|159784|2000000373|160215|160331|160415|160377|160416|162772|1418234569|161430|161536|162026|1318415199|162149|162148|162225|162339|162359|162846|162990|163576|163858|1318415618|164000|164054|1346750102|164142|164612|164781|162733|1345128400|1345128683|1345125809|1345126463|1318947084|1453800408|1435051013||1314810487|1316257218|1316714376|1316254395|1314807240|1314103900|1362152807|1437130537|1316254960|1316257310|1314807359|1478599266|1314104096|1314811530|1316255391|1461144780|1316347731|1316347968|1314807430|1314104261|1437573251|1507215263|2000002729,1507215263|1454277430|1478599266|1383827857|1317137798|1317663320|2000002729
E38000163,00N,NHS South Tyneside CCG,E54000046,"Northumberland, Tyne and Wear and North Durham",9,,,,
E38000082,08G,NHS Hillingdon CCG,E54000027,North West London,10,,,,
